id,label,media_type
,3DGEOVOLUMES,http://www.opengis.net/def/interface/ogcapi-3d-geo-volumes
http://publications.europa.eu/resource/authority/file-type/7Z,7Z,
http://publications.europa.eu/resource/authority/file-type/AAB,AAB,
http://publications.europa.eu/resource/authority/file-type/AAC,AAC,
http://publications.europa.eu/resource/authority/file-type/AKN4EU,AKN4EU,
http://publications.europa.eu/resource/authority/file-type/AKN4EU_ZIP,AKN4EU_ZIP,
,AMQP,http://amqp.org
http://publications.europa.eu/resource/authority/file-type/APK,APK,
http://publications.europa.eu/resource/authority/file-type/APPX,APPX,
http://publications.europa.eu/resource/authority/file-type/ARC,ARC,
http://publications.europa.eu/resource/authority/file-type/ARC_GZ,ARC_GZ,
,ARCGIS,urn:x-esri:serviceType:ArcGIS
,ARCIMS,urn:x-esri:serviceType:ArcIMS
http://publications.europa.eu/resource/authority/file-type/ARCINFO_COV,ARCINFO_COV,
http://publications.europa.eu/resource/authority/file-type/ARJ,ARJ,
http://publications.europa.eu/resource/authority/file-type/ATOM,ATOM,http://www.iana.org/assignments/media-types/application/atom+xml
http://publications.europa.eu/resource/authority/file-type/AZW,AZW,
,BIGQUERY,http://cloud.google.com/bigquery/
http://publications.europa.eu/resource/authority/file-type/BIN,BIN,http://www.iana.org/assignments/media-types/application/octet-stream
http://publications.europa.eu/resource/authority/file-type/BITS,BITS,
http://publications.europa.eu/resource/authority/file-type/BMP,BMP,
http://publications.europa.eu/resource/authority/file-type/BWF,BWF,
http://publications.europa.eu/resource/authority/file-type/BZIP2,BZIP2,
,CDM,
,CDMREMOTE,
,CDMRFEATURE,
,COLLECTIONCAST,http://commons.esipfed.org/ns/discovery/1.2/collectionCast#
http://publications.europa.eu/resource/authority/file-type/CSS,CSS,http://www.iana.org/assignments/media-types/text/css
http://publications.europa.eu/resource/authority/file-type/CSV,CSV,http://www.iana.org/assignments/media-types/text/csv
,CSW,http://www.opengis.net/def/serviceType/ogc/csw
,CT,http://www.opengeospatial.org/standards/ct
http://publications.europa.eu/resource/authority/file-type/DAPK,DAPK,
,DAT,http://dat-data.com
,DATAPACKAGE,http://data.okfn.org/doc/data-package
http://publications.europa.eu/resource/authority/file-type/DBF,DBF,http://www.iana.org/assignments/media-types/application/vnd.dbf
http://publications.europa.eu/resource/authority/file-type/DCR,DCR,
http://publications.europa.eu/resource/authority/file-type/DEB,DEB,
http://publications.europa.eu/resource/authority/file-type/DGN,DGN,
http://publications.europa.eu/resource/authority/file-type/DMG,DMG,
http://publications.europa.eu/resource/authority/file-type/DMP,DMP,
http://publications.europa.eu/resource/authority/file-type/DOC,DOC,http://www.iana.org/assignments/media-types/application/msword
http://publications.europa.eu/resource/authority/file-type/DOCX,DOCX,http://www.iana.org/assignments/media-types/application/vnd.openxmlformats-officedocument.wordprocessingml.document
,DOWNLOAD,
http://publications.europa.eu/resource/authority/file-type/DTD_SGML,DTD_SGML,
http://publications.europa.eu/resource/authority/file-type/DTD_XML,DTD_XML,http://www.iana.org/assignments/media-types/application/xml-dtd
http://publications.europa.eu/resource/authority/file-type/DWG,DWG,http://www.iana.org/assignments/media-types/image/vnd.dwg
http://publications.europa.eu/resource/authority/file-type/DXF,DXF,http://www.iana.org/assignments/media-types/image/vnd.dxf
http://publications.europa.eu/resource/authority/file-type/E00,E00,
http://publications.europa.eu/resource/authority/file-type/EAR,EAR,
http://publications.europa.eu/resource/authority/file-type/ECW,ECW,
http://publications.europa.eu/resource/authority/file-type/EFORMS_XML,EFORMS_XML,
http://publications.europa.eu/resource/authority/file-type/EPS,EPS,
http://publications.europa.eu/resource/authority/file-type/EPUB,EPUB,http://www.iana.org/assignments/media-types/application/epub+zip
http://publications.europa.eu/resource/authority/file-type/ETSI_XML,ETSI_XML,
http://publications.europa.eu/resource/authority/file-type/EXE,EXE,http://www.iana.org/assignments/media-types/application/vnd.microsoft.portable-executable
,FDSNWS-EVENT,http://service.iris.edu/fdsnws/event/1/
,FILE,
http://publications.europa.eu/resource/authority/file-type/FMX2,FMX2,
http://publications.europa.eu/resource/authority/file-type/FMX3,FMX3,
http://publications.europa.eu/resource/authority/file-type/FMX4,FMX4,
http://publications.europa.eu/resource/authority/file-type/FMX4_ZIP,FMX4_ZIP,
,FTP,http://tools.ietf.org/html/rfc959
,FUSION-TABLES,http://google.com/fusiontables
,GCS,http://cloud.google.com/storage/
http://publications.europa.eu/resource/authority/file-type/GDB,GDB,
,GEO,
,GEOGIGG,http://geogig.org
http://publications.europa.eu/resource/authority/file-type/GEOJSON,GEOJSON,http://www.iana.org/assignments/media-types/application/geo+json
http://publications.europa.eu/resource/authority/file-type/GEOTIFF,GEOTIFF,
http://publications.europa.eu/resource/authority/file-type/GIF,GIF,
,GIT,http://git-scm.com/
http://publications.europa.eu/resource/authority/file-type/GML,GML,http://www.iana.org/assignments/media-types/application/gml+xml
http://publications.europa.eu/resource/authority/file-type/GMZ,GMZ,
http://publications.europa.eu/resource/authority/file-type/GPKG,GPKG,http://www.iana.org/assignments/media-types/application/geopackage+sqlite3
http://publications.europa.eu/resource/authority/file-type/GRID,GRID,http://www.iana.org/assignments/media-types/application/vnd.gridmp
http://publications.europa.eu/resource/authority/file-type/GRID_ASCII,GRID_ASCII,
,GRIDDAP,http://coastwatch.pfeg.noaa.gov/erddap/griddap/documentation.html
http://publications.europa.eu/resource/authority/file-type/GTFS,GTFS,
http://publications.europa.eu/resource/authority/file-type/GZIP,GZIP,http://www.iana.org/assignments/media-types/application/gzip
http://publications.europa.eu/resource/authority/file-type/HDF,HDF,
http://publications.europa.eu/resource/authority/file-type/HDT,HDT,http://www.iana.org/assignments/media-types/application/vnd.hdt
http://publications.europa.eu/resource/authority/file-type/HTML,HTML,http://www.iana.org/assignments/media-types/text/html
http://publications.europa.eu/resource/authority/file-type/HTML_SIMPL,HTML_SIMPL,
http://publications.europa.eu/resource/authority/file-type/HTML5,HTML5,
,http,http://www.ietf.org/rfc/rfc2616
,HYRAX,
http://publications.europa.eu/resource/authority/file-type/ICS,ICS,
,IMAGE,http://iiif.io/api/image
http://publications.europa.eu/resource/authority/file-type/IMMC_XML,IMMC_XML,
http://publications.europa.eu/resource/authority/file-type/INDD,INDD,
,INFORMATION,
,IOT,http://www.ogcnetwork.net/IoT
http://publications.europa.eu/resource/authority/file-type/IPA,IPA,
