label,id
API,application/api
ASCII,text/ascii
Atom,application/atom+xml
Calendar,text/calendar
CSV,text/csv
CSW,application/csw
DBF,application/dbf
DGN,image/vnd.dgn
DjVu,image/vnd.djvu
DOC,application/msword
DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document
DWG,image/vnd.dwg
DXF,application/dxf
ECMAScript,application/ecmascript
ECW,application/ecw
ELP,application/elp
ePub,application/epub+zip
GDB,x-lml/x-gdb
GeoJSON,application/geo+json
GeoJSON,application/vnd.geo+json
GeoPackage,application/geopackage+sqlite3
GeoPDF,application/geo+pdf
GeoRSS,text/xml+georss
GML,application/gml+xml
GPX,application/gpx+xml
GZIP,application/gzip
HTML,text/html
HTML,text/html
IMG,application/img
JavaScript,text/javascript
JPG,image/jpeg
JP2,image/jp2
JSON,application/json
JSON,application/x-json
JSON-LD,application/ld+json
KML,application/vnd.google-earth.kml+xml
KMZ,application/vnd.google-earth.kmz
LAS,application/las
MARC,application/marc
MDB,application/msaccess
MP4,application/mp4
MPP,application/vmd.ms-project
N3,text/rdf+n3
NetCDF,application/netcdf
OCTET-STREAM,application/octet-stream
ODP,application/vnd.oasis.opendocument.presentation
ODS,application/vnd.oasis.opendocument.spreadsheet
ODT,application/vnd.oasis.opendocument.text
PC-Axis,text/pc-axis
PDF,application/pdf
PGP,application/pgp-signature
plain,text/plain
PNG,image/png
Postscript,application/postscript
PPT,application/vms.ms-powerpoint
QGIS,application/x-qgis
RAR,application/x-rar-compressed
RASTER,application/vnd.cups-raster
RDF-N3,text/n3
RDF-Turtle,text/turtle
RDF-XML,application/rdf+xml
RSS,application/rss+xml
RTF,text/rtf
SCORM,application/scorm
SHP,application/x-zipped-shp
SMIL,application/smil+xml
SOAP,application/soap+xml
Solr,application/solr
SPARQL,application/sparql-query
SPARQL-JSON,application/sparql-results+json
SPARQL-XML,application/sparql-results+xml
SubRip,application/srt
SVG,image/svg+xml
TBX,application/x-tbx+xml
TIFF,image/tiff
TMX,application/x-tmx+xml
TSV,text/tab-separated-values
TURTLE,application/x-turtle
vCard-texto,text/vcard
vCard-XML,application/vcard+xml
Visio,application/vnd.visio
VoiceXML,application/voicexml+xml
WCS,text/wcs
WFS,text/wfs
WMS,text/wms
WMS-XML,application/vnd.ogc.wms_xml
XBRL,application/xbrl
XHTML,application/xhtml+xml
XLS,application/vnd.ms-excel
XLSX,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
XML,application/xml
XML,text/xml
XML-APP,application/xml
Z39.50,application/z39.50
ZIP,application/x-zip-compressed
ZIP,application/zip
