id,label,dcat_ap
http://datos.gob.es/kos/sector-publico/sector/ciencia-tecnologia,ciencia-tecnologia,http://publications.europa.eu/resource/authority/data-theme/TECH
http://datos.gob.es/kos/sector-publico/sector/comercio,comercio,http://publications.europa.eu/resource/authority/data-theme/ECON
http://datos.gob.es/kos/sector-publico/sector/cultura-ocio,cultura-ocio,http://publications.europa.eu/resource/authority/data-theme/EDUC
http://datos.gob.es/kos/sector-publico/sector/demografia,demografia,http://publications.europa.eu/resource/authority/data-theme/SOCI
http://datos.gob.es/kos/sector-publico/sector/deporte,deporte,http://publications.europa.eu/resource/authority/data-theme/EDUC
http://datos.gob.es/kos/sector-publico/sector/economia,economia,http://publications.europa.eu/resource/authority/data-theme/ECON
http://datos.gob.es/kos/sector-publico/sector/educacion,educacion,http://publications.europa.eu/resource/authority/data-theme/EDUC
http://datos.gob.es/kos/sector-publico/sector/empleo,empleo,http://publications.europa.eu/resource/authority/data-theme/ECON
http://datos.gob.es/kos/sector-publico/sector/energia,energia,http://publications.europa.eu/resource/authority/data-theme/ENER
http://datos.gob.es/kos/sector-publico/sector/hacienda,hacienda,http://publications.europa.eu/resource/authority/data-theme/GOVE
http://datos.gob.es/kos/sector-publico/sector/industria,industria,http://publications.europa.eu/resource/authority/data-theme/ECON
http://datos.gob.es/kos/sector-publico/sector/legislacion-justicia,legislacion-justicia,http://publications.europa.eu/resource/authority/data-theme/JUST
http://datos.gob.es/kos/sector-publico/sector/medio-ambiente,medio-ambiente,http://publications.europa.eu/resource/authority/data-theme/ENVI
http://datos.gob.es/kos/sector-publico/sector/medio-rural-pesca,medio-rural-pesca,http://publications.europa.eu/resource/authority/data-theme/AGRI
http://datos.gob.es/kos/sector-publico/sector/salud,salud,http://publications.europa.eu/resource/authority/data-theme/HEAL
http://datos.gob.es/kos/sector-publico/sector/sector-publico,sector-publico,http://publications.europa.eu/resource/authority/data-theme/GOVE
http://datos.gob.es/kos/sector-publico/sector/seguridad,seguridad,http://publications.europa.eu/resource/authority/data-theme/JUST
http://datos.gob.es/kos/sector-publico/sector/sociedad-bienestar,sociedad-bienestar,http://publications.europa.eu/resource/authority/data-theme/SOCI
http://datos.gob.es/kos/sector-publico/sector/transporte,transporte,http://publications.europa.eu/resource/authority/data-theme/TRAN
http://datos.gob.es/kos/sector-publico/sector/turismo,turismo,http://publications.europa.eu/resource/authority/data-theme/ECON
http://datos.gob.es/kos/sector-publico/sector/urbanismo-infraestructuras,urbanismo-infraestructuras,http://publications.europa.eu/resource/authority/data-theme/REGI
http://datos.gob.es/kos/sector-publico/sector/vivienda,vivienda,http://publications.europa.eu/resource/authority/data-theme/REGI
