id,label,dcat_ap
http://datos.gob.es/kos/sector-publico/sector/ciencia-tecnologia,Ciencia y tecnología,http://publications.europa.eu/resource/authority/data-theme/TECH
http://datos.gob.es/kos/sector-publico/sector/comercio,Comercio,http://publications.europa.eu/resource/authority/data-theme/ECON
http://datos.gob.es/kos/sector-publico/sector/cultura-ocio,Cultura y ocio,http://publications.europa.eu/resource/authority/data-theme/EDUC
http://datos.gob.es/kos/sector-publico/sector/demografia,Demografía,http://publications.europa.eu/resource/authority/data-theme/SOCI
http://datos.gob.es/kos/sector-publico/sector/deporte,Deporte,http://publications.europa.eu/resource/authority/data-theme/EDUC
http://datos.gob.es/kos/sector-publico/sector/economia,Economía,http://publications.europa.eu/resource/authority/data-theme/ECON
http://datos.gob.es/kos/sector-publico/sector/educacion,Educación,http://publications.europa.eu/resource/authority/data-theme/EDUC
http://datos.gob.es/kos/sector-publico/sector/empleo,Empleo,http://publications.europa.eu/resource/authority/data-theme/ECON
http://datos.gob.es/kos/sector-publico/sector/energia,Energía,http://publications.europa.eu/resource/authority/data-theme/ENER
http://datos.gob.es/kos/sector-publico/sector/hacienda,Hacienda,http://publications.europa.eu/resource/authority/data-theme/GOVE
http://datos.gob.es/kos/sector-publico/sector/industria,Industria,http://publications.europa.eu/resource/authority/data-theme/ECON
http://datos.gob.es/kos/sector-publico/sector/legislacion-justicia,Legislación y justicia,http://publications.europa.eu/resource/authority/data-theme/JUST
http://datos.gob.es/kos/sector-publico/sector/medio-ambiente,Medio ambiente,http://publications.europa.eu/resource/authority/data-theme/ENVI
http://datos.gob.es/kos/sector-publico/sector/medio-rural-pesca,Medio Rural,http://publications.europa.eu/resource/authority/data-theme/AGRI
http://datos.gob.es/kos/sector-publico/sector/salud,Salud,http://publications.europa.eu/resource/authority/data-theme/HEAL
http://datos.gob.es/kos/sector-publico/sector/sector-publico,Sector público,http://publications.europa.eu/resource/authority/data-theme/GOVE
http://datos.gob.es/kos/sector-publico/sector/seguridad,Seguridad,http://publications.europa.eu/resource/authority/data-theme/JUST
http://datos.gob.es/kos/sector-publico/sector/sociedad-bienestar,Sociedad y bienestar,http://publications.europa.eu/resource/authority/data-theme/SOCI
http://datos.gob.es/kos/sector-publico/sector/transporte,Transporte,http://publications.europa.eu/resource/authority/data-theme/TRAN
http://datos.gob.es/kos/sector-publico/sector/turismo,Turismo,http://publications.europa.eu/resource/authority/data-theme/ECON
http://datos.gob.es/kos/sector-publico/sector/urbanismo-infraestructuras,Urbanismo e infraestructuras,http://publications.europa.eu/resource/authority/data-theme/REGI
http://datos.gob.es/kos/sector-publico/sector/vivienda,Vivienda,http://publications.europa.eu/resource/authority/data-theme/REGI
